,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man City,38.0,28.0,5.0,5.0,93.0,29.0,64.0,89.0
Man United,38.0,28.0,5.0,5.0,89.0,33.0,56.0,89.0
Arsenal,38.0,21.0,10.0,7.0,74.0,49.0,25.0,70.0
Tottenham,38.0,20.0,9.0,9.0,66.0,41.0,25.0,69.0
Newcastle,38.0,19.0,11.0,8.0,56.0,51.0,5.0,65.0
Chelsea,38.0,18.0,10.0,10.0,65.0,46.0,19.0,64.0
Everton,38.0,15.0,12.0,11.0,50.0,40.0,10.0,56.0
Fulham,38.0,14.0,14.0,10.0,48.0,51.0,-3.0,52.0
Liverpool,38.0,14.0,14.0,10.0,47.0,40.0,7.0,52.0
Norwich,38.0,12.0,15.0,11.0,52.0,66.0,-14.0,47.0
Swansea,38.0,12.0,15.0,11.0,44.0,51.0,-7.0,47.0
West Brom,38.0,13.0,17.0,8.0,45.0,52.0,-7.0,47.0
Stoke,38.0,11.0,15.0,12.0,36.0,53.0,-17.0,45.0
Sunderland,38.0,11.0,15.0,12.0,45.0,46.0,-1.0,45.0
Wigan,38.0,11.0,17.0,10.0,42.0,62.0,-20.0,43.0
Aston Villa,38.0,7.0,14.0,17.0,37.0,53.0,-16.0,38.0
QPR,38.0,10.0,21.0,7.0,43.0,66.0,-23.0,37.0
Bolton,38.0,10.0,22.0,6.0,46.0,77.0,-31.0,36.0
Blackburn,38.0,8.0,23.0,7.0,48.0,78.0,-30.0,31.0
Wolves,38.0,5.0,23.0,10.0,40.0,82.0,-42.0,25.0
